Rate Plan Name,Rate Plan Code,Before/After Baseline,Season Name,Start Date,End Date,Start Time,End Time,Cost in cents,Source
Tiered Rate Plan,E-1,Above Baseline,,,,,,15.569,pge
Tiered Rate Plan,E-1,Below Baseline,,,,,,15.569,pge
Tiered Rate Plan,E-1,Above Baseline,,,,,,13.565,greensource
Tiered Rate Plan,E-1,Below Baseline,,,,,,13.565,greensource
Tiered Rate Plan,E-1,Above Baseline,,,,,,14.565,totalgreen
Tiered Rate Plan,E-1,Below Baseline,,,,,,14.565,totalgreen
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,12:00 AM,3:00 PM,14.911,pge
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,3:00 PM,4:00 PM,19.421,pge
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,29.332,pge
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,19.421,pge
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,12:00 AM,3:00 PM,9.787,pge
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,3:00 PM,4:00 PM,11.122,pge
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,13.119,pge
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,11.122,pge
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,12:00 AM,3:00 PM,12.54,greensource
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,3:00 PM,4:00 PM,16.583,greensource
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,25.467,greensource
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,16.583,greensource
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,12:00 AM,3:00 PM,7.946,greensource
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,3:00 PM,4:00 PM,9.142,greensource
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,10.933,greensource
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,9.142,greensource
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,12:00 AM,3:00 PM,13.54,totalgreen
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,3:00 PM,4:00 PM,17.583,totalgreen
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,26.467,totalgreen
Electric Home Rate Plan,E-ELEC,,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,17.583,totalgreen
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,12:00 AM,3:00 PM,8.946,totalgreen
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,3:00 PM,4:00 PM,10.142,totalgreen
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,11.933,totalgreen
Electric Home Rate Plan,E-ELEC,,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,10.142,totalgreen
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,12:00 AM,4:00 PM,13.17,pge
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,12:00 AM,4:00 PM,13.17,pge
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,23.47,pge
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,23.47,pge
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,13.17,pge
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,13.17,pge
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,12:00 AM,4:00 PM,13.73,pge
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,12:00 AM,4:00 PM,13.73,pge
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,16.398,pge
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,16.398,pge
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,13.73,pge
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,13.73,pge
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,12:00 AM,4:00 PM,12.219,greensource
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,12:00 AM,4:00 PM,12.219,greensource
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,20.132,greensource
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,20.132,greensource
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,12.219,greensource
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,9:00 PM,12:00 AM,12.219,greensource
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,12:00 AM,4:00 PM,11.958,greensource
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,12:00 AM,4:00 PM,11.958,greensource
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,14.5,greensource
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,4:00 PM,9:00 PM,14.5,greensource
Time-of-Use,E-TOU-C,Above Baseline,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,11.958,greensource
Time-of-Use,E-TOU-C,Below Baseline,Winter Season,Oct 1,May 31,9:00 PM,12:00 AM,11.958,greensource
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,12:00 AM,4:00 PM,13.219,totalgreen
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,12:00 AM,4:00 PM,13.219,totalgreen
Time-of-Use,E-TOU-C,Above Baseline,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,21.132,totalgreen
Time-of-Use,E-TOU-C,Below Baseline,Summer Season,June 1,Sept 30,4:00 PM,9:00 PM,21.132,totalgreen
